Longitude,Latitude,U,V
-4.635258749168947645e+01,-2.408332547581114724e+01,-6.500000000000000222e-01,2.399999999999999911e-01
-4.635160497637971844e+01,-2.408332547581114724e+01,-6.500000000000000222e-01,2.399999999999999911e-01
-4.635062237654780404e+01,-2.408332547581114724e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.634963979042537119e+01,-2.408332547581114724e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.634865731634853603e+01,-2.408332547581114724e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.634767475774605572e+01,-2.408332547581114724e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.634669231115157828e+01,-2.408332547581114724e+01,-6.700000000000000400e-01,2.399999999999999911e-01
-4.634570977999729990e+01,-2.408332547581114724e+01,-6.800000000000000488e-01,2.399999999999999911e-01
-4.634472726258267272e+01,-2.408332547581114724e+01,-6.800000000000000488e-01,2.500000000000000000e-01
-4.634374485720439907e+01,-2.408332547581114724e+01,-6.899999999999999467e-01,2.500000000000000000e-01
-4.634276236726490339e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,2.500000000000000000e-01
-4.634177998932899101e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,2.600000000000000089e-01
-4.634079752686069043e+01,-2.408332547581114724e+01,-7.099999999999999645e-01,2.600000000000000089e-01
-4.633981586448718559e+01,-2.408332547581114724e+01,-7.099999999999999645e-01,2.600000000000000089e-01
-4.633883352774732600e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,2.600000000000000089e-01
-4.633785110647161076e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,2.700000000000000178e-01
-4.633686869890061644e+01,-2.408332547581114724e+01,-6.899999999999999467e-01,2.700000000000000178e-01
-4.633588640337753617e+01,-2.408332547581114724e+01,-6.899999999999999467e-01,2.700000000000000178e-01
-4.633490402326518165e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,2.700000000000000178e-01
-4.633392175517208500e+01,-2.408332547581114724e+01,-6.999999999999999556e-01,2.700000000000000178e-01
-4.633293940253732046e+01,-2.408332547581114724e+01,-7.099999999999999645e-01,2.700000000000000178e-01
-4.633195706360491073e+01,-2.408332547581114724e+01,-7.199999999999999734e-01,2.700000000000000178e-01
-4.633097483668623084e+01,-2.408332547581114724e+01,-7.299999999999999822e-01,2.700000000000000178e-01
-4.632999252520156119e+01,-2.408332547581114724e+01,-7.299999999999999822e-01,2.700000000000000178e-01
-4.632901022743934760e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,2.700000000000000178e-01
-4.632802804166585986e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,2.800000000000000266e-01
-4.632704577134510515e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,2.800000000000000266e-01
-4.632606361302885745e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,2.800000000000000266e-01
-4.632508137014424676e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,2.800000000000000266e-01
-4.632409914095957504e+01,-2.408332547581114724e+01,-7.500000000000000000e-01,2.800000000000000266e-01
-4.632311702379127638e+01,-2.408332547581114724e+01,-7.500000000000000000e-01,2.800000000000000266e-01
-4.632213482203784594e+01,-2.408332547581114724e+01,-7.500000000000000000e-01,2.800000000000000266e-01
-4.632115263399897742e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.899999999999999800e-01
-4.632017055796889338e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.899999999999999800e-01
-4.631918839735430282e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,2.899999999999999800e-01
-4.631820634873081843e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,2.899999999999999800e-01
-4.631722421553655522e+01,-2.408332547581114724e+01,-7.800000000000000266e-01,2.899999999999999800e-01
-4.631624209605106302e+01,-2.408332547581114724e+01,-7.800000000000000266e-01,2.800000000000000266e-01
-4.631526008855114185e+01,-2.408332547581114724e+01,-7.800000000000000266e-01,2.800000000000000266e-01
-4.631427799647902788e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.800000000000000266e-01
-4.631329601638879012e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.800000000000000266e-01
-4.631231395171690934e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.700000000000000178e-01
-4.631133190075718176e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.700000000000000178e-01
-4.631034996176666141e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.700000000000000178e-01
-4.630936793826094799e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.600000000000000089e-01
-4.630838592839194945e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.600000000000000089e-01
-4.630740403050020149e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.600000000000000089e-01
-4.630642204802807527e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.500000000000000000e-01
-4.630544017752444574e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.500000000000000000e-01
-4.630445822244525544e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.500000000000000000e-01
-4.630347628106346747e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.399999999999999911e-01
-4.630249445164162125e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.399999999999999911e-01
-4.630151253764182684e+01,-2.408332547581114724e+01,-7.900000000000000355e-01,2.399999999999999911e-01
-4.630053063733527807e+01,-2.408332547581114724e+01,-7.800000000000000266e-01,2.300000000000000100e-01
-4.629954884898615575e+01,-2.408332547581114724e+01,-7.800000000000000266e-01,2.300000000000000100e-01
-4.629856697605862337e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,2.200000000000000011e-01
-4.629758521508484392e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,2.200000000000000011e-01
-4.629660336953416078e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.200000000000000011e-01
-4.629562153766750754e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.099999999999999922e-01
-4.629463981775289483e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.099999999999999922e-01
-4.629365801325435825e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.200000000000000011e-01
-4.629267622244334035e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.200000000000000011e-01
-4.629169454357638358e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.200000000000000011e-01
-4.629071278012858670e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.200000000000000011e-01
-4.628973112862115613e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.200000000000000011e-01
-4.628874939253194754e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,2.099999999999999922e-01
-4.628776767012064397e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,2.099999999999999922e-01
-4.628678605964416448e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,2.000000000000000111e-01
-4.628580436458449299e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,1.900000000000000022e-01
-4.628482278145595785e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,1.799999999999999933e-01
-4.628384111374328569e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,1.799999999999999933e-01
-4.628285945971475712e+01,-2.408332547581114724e+01,-7.700000000000000178e-01,1.700000000000000122e-01
-4.628187791760048952e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,1.600000000000000033e-01
-4.628089629091405754e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,1.600000000000000033e-01
-4.627991467788353930e+01,-2.408332547581114724e+01,-7.600000000000000089e-01,1.499999999999999944e-01
-4.627893317678787355e+01,-2.408332547581114724e+01,-7.500000000000000000e-01,1.499999999999999944e-01
-4.627795159110658574e+01,-2.408332547581114724e+01,-7.500000000000000000e-01,1.400000000000000133e-01
-4.627697011734307608e+01,-2.408332547581114724e+01,-7.500000000000000000e-01,1.400000000000000133e-01
-4.627598855897618080e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,1.400000000000000133e-01
-4.627500701428962060e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,1.300000000000000044e-01
-4.627402558151529632e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,1.300000000000000044e-01
-4.627304406415299098e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,1.199999999999999956e-01
-4.627206256047095678e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,1.199999999999999956e-01
-4.627108116867677978e+01,-2.408332547581114724e+01,-7.399999999999999911e-01,1.199999999999999956e-01
-4.627009969229318642e+01,-2.408332547581114724e+01,-7.299999999999999822e-01,1.100000000000000006e-01
-4.626911832781262746e+01,-2.408332547581114724e+01,-7.299999999999999822e-01,1.100000000000000006e-01
-4.626813687876397552e+01,-2.408332547581114724e+01,-7.299999999999999822e-01,1.000000000000000056e-01
-4.626715544334867758e+01,-2.408332547581114724e+01,-7.299999999999999822e-01,1.000000000000000056e-01
-4.626617411985452577e+01,-2.408332547581114724e+01,-7.199999999999999734e-01,1.000000000000000056e-01
